Destination ,Latitude,Longitude,Rating,Short Descriptin,Image
Jami Ul-Alfar Mosque,6.93851,79.8516109,4.2,Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/4b/1a/0c/photo0jpg.jpg?w=1000&h=-1&s=1
Kandy Lake,7.2912017,80.6420565,3.9,Bodies of Water,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a9/70/52/kandy-lake-in-sri-lanka.jpg?w=700&h=500&s=1
Arugam Bay,6.8379771,81.8251687,4.2,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/f8/5f/0f/beach.jpg?w=700&h=500&s=1
Kandy Market Hall,7.2905715,80.6337262,3.9,Flea & Street Markets,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/8a/fd/32/photo0jpg.jpg?w=1000&h=800&s=1
Brief Garden - Bevis Bawa,6.45702,80.037736,4.1,Parks • Gardens,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/67/23/4d/imag1109-largejpg.jpg?w=1000&h=800&s=1
Udawattekele Sanctuary,7.2988782,80.6424033,4.2,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/30/91/77/view-from-the-sanctuary.jpg?w=1000&h=-1&s=1
Bentota River,6.428872,80.02693,4.4,Bodies of Water,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/20/03/62/bentota-river-safari.jpg?w=1000&h=-1&s=1
Thirukoneswaram Kovil,8.5824436,81.2453556,4.4,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f3/d1/3c/thirukoneswaram-or-the.jpg?w=800&h=600&s=1
Community Tsunami Museum,6.1683233,80.0882915,4.6,Speciality Museums,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/e3/32/5e/awareness-programs-at.jpg?w=1000&h=800&s=1
Polhena Beach,5.9363176,80.5263073,4.1,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/81/88/25/img-20190215-103150-largejpg.jpg?w=700&h=600&s=1
Ambuluwawa Tower,7.1615289,80.5473161,4.6,Observation Decks & Towers,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/60/ff/c5/ambuluwawa-tower-is-the.jpg?w=1000&h=800&s=1
Elephant Transit Home (ETH),6.4266887,80.8165359,4.3,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/2b/cb/f3/after-milk-feed.jpg?w=1000&h=800&s=1
Kosgoda Sea Turtle Conservation Project,6.354118,80.018341,4.3,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/a5/2b/9e/caption.jpg?w=1000&h=-1&s=1
Damro Labookellie Tea Centre and Tea Garden,7.0240568,80.7193898,3.9,Farms,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/84/ca/6b/damro-tea-damro-possess.jpg?w=500&h=400&s=1
Diyaluma Falls,6.7331443,81.0314173,4.6,Waterfalls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/fe/50/be/today-lovely-tour-diayluma.jpg?w=1000&h=-1&s=1
Coconut Tree Hill,5.9392353,80.468242,4.4,Lookouts,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/10/4f/42/photo1jpg.jpg?w=1000&h=-1&s=1
Japanese Peace Pagoda - Rumassala,6.016035,80.2381783,4.3,Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/fc/fe/ed/japanese-peace-pagoda.jpg?w=1000&h=800&s=1
Kandy Spice Walk,7.2905715,80.6337262,4.5,Gardens,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/ba/7e/f7/grinding.jpg?w=1000&h=-1&s=1
Ridiyagama Safari Park,6.2458184,80.9835512,3.9,Zoos,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/e0/d9/f2/elephants.jpg?w=400&h=-1&s=1
Ambewela Farms,6.8917934,80.8038646,3.9,Farms,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/e0/98/43/wow.jpg?w=1000&h=800&s=1
Nilaveli Beach,8.7003072,81.19205,4.3,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/b0/0f/54/photo0jpg.jpg?w=1000&h=-1&s=1
Kalametiya Lagoon Bird Sanctuary & Wetland Park,6.092186,80.9373623,5,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/04/0a/f8/birdwatching.jpg?w=1000&h=-1&s=1
Bally's Casino,,,4,Casinos,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/45/9d/c5/we-are-ballys-casino.jpg?w=600&h=500&s=1
Lunuganga Garden Tour,6.4033838,80.0218791,4.4,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/6a/5a/fc/from-the-terrace-lunuganga.jpg?w=1000&h=800&s=1
Kaudulla National Park,8.1107185,80.8858542,4.4,National Parks • Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/32/ee/32/kaudulla-national-park.jpg?w=1000&h=800&s=1
Ritigala Forest Monastery,8.1063997,80.6690743,4.4,Historic Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/c2/26/94/ritigala-sri-lanka.jpg?w=1000&h=800&s=1
